PageURL,TableHeader
http://localhost:8080/oshaiger-bgsoft/admin/leads,Sl.No.
http://localhost:8080/oshaiger-bgsoft/admin/leads,Name
http://localhost:8080/oshaiger-bgsoft/admin/leads,Company
http://localhost:8080/oshaiger-bgsoft/admin/leads,Email
http://localhost:8080/oshaiger-bgsoft/admin/leads,Phone
http://localhost:8080/oshaiger-bgsoft/admin/leads,Value
http://localhost:8080/oshaiger-bgsoft/admin/leads,Tags
http://localhost:8080/oshaiger-bgsoft/admin/leads,Assigned
http://localhost:8080/oshaiger-bgsoft/admin/leads,Status
http://localhost:8080/oshaiger-bgsoft/admin/leads,Source
http://localhost:8080/oshaiger-bgsoft/admin/leads,Last Contact
http://localhost:8080/oshaiger-bgsoft/admin/leads,Created
http://localhost:8080/oshaiger-bgsoft/admin/clients,Sl.No.
http://localhost:8080/oshaiger-bgsoft/admin/clients,Company
http://localhost:8080/oshaiger-bgsoft/admin/clients,Primary Contact
http://localhost:8080/oshaiger-bgsoft/admin/clients,Primary Email
http://localhost:8080/oshaiger-bgsoft/admin/clients,Phone
http://localhost:8080/oshaiger-bgsoft/admin/clients,Active
http://localhost:8080/oshaiger-bgsoft/admin/clients,Groups
http://localhost:8080/oshaiger-bgsoft/admin/clients,Date Created
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Quotation #
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Subject
http://localhost:8080/oshaiger-bgsoft/admin/proposals,To
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Total
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Date
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Open Till
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Project
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Type
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Date Created
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Status
http://localhost:8080/oshaiger-bgsoft/admin/proposals,Tender No.
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Sale order #
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Amount
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Total Tax
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Customer
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Project
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Tags
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Date
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Expiry Date
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Reference #
http://localhost:8080/oshaiger-bgsoft/admin/estimates,Status
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Invoice #
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Amount
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Total Tax
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Date
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Customer
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Project
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Tags
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Due Date
http://localhost:8080/oshaiger-bgsoft/admin/invoices,Status
http://localhost:8080/oshaiger-bgsoft/admin/payments,Payment #
http://localhost:8080/oshaiger-bgsoft/admin/payments,Invoice #
http://localhost:8080/oshaiger-bgsoft/admin/payments,Payment Mode
http://localhost:8080/oshaiger-bgsoft/admin/payments,Transaction ID
http://localhost:8080/oshaiger-bgsoft/admin/payments,Customer
http://localhost:8080/oshaiger-bgsoft/admin/payments,Amount
http://localhost:8080/oshaiger-bgsoft/admin/payments,Date
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Credit Note #
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Credit Note Date
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Customer
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Status
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Project
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Reference #
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Amount
http://localhost:8080/oshaiger-bgsoft/admin/credit_notes,Remaining Amount
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Estimate #
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Amount
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Total Tax
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Customer
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Project
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Tags
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Date
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Expiry Date
http://localhost:8080/oshaiger-bgsoft/admin/new-estimate,Reference #
